[2025-09-16T05:28:04.295Z] [DEBUG] [KILL-CHROME] Erro ao matar brave.exe: | Data: "Command failed: taskkill /f /im brave.exe /t\nERRO: o processo \"brave.exe\" n�o foi encontrado.\r\n"
[2025-09-16T05:28:04.509Z] [DEBUG] [KILL-CHROME] Erro ao matar opera.exe: | Data: "Command failed: taskkill /f /im opera.exe /t\nERRO: o processo \"opera.exe\" n�o foi encontrado.\r\n"
[2025-09-16T05:28:07.549Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:28:08.224Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:28:08.904Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:28:09.542Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:28:10.031Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:28:10.233Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:28:11.065Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:28:11.920Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:28:28.168Z] [DEBUG] Tentativa 1/3 falhou para joaosn
[2025-09-16T05:28:28.194Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:28:28.220Z] [DEBUG] Promise details: | Data: {}
[2025-09-16T05:28:28.366Z] [DEBUG] [KILL-CHROME] Erro ao matar chrome.exe: | Data: "Command failed: taskkill /f /im chrome.exe /t\nERRO: o processo com PID 15212 (processo filho de PID 17996) n�o p�de ser finalizado.\r\nRaz�o: N�o h� ocorr�ncia da tarefa em execu��o.\r\r\n"
[2025-09-16T05:28:28.479Z] [DEBUG] [KILL-CHROME] Erro ao matar chromium.exe: | Data: "Command failed: taskkill /f /im chromium.exe /t\nERRO: o processo \"chromium.exe\" n�o foi encontrado.\r\n"
[2025-09-16T05:28:28.601Z] [DEBUG] [KILL-CHROME] Erro ao matar msedge.exe: | Data: "Command failed: taskkill /f /im msedge.exe /t\nERRO: o processo \"msedge.exe\" n�o foi encontrado.\r\n"
[2025-09-16T05:28:28.711Z] [DEBUG] [KILL-CHROME] Erro ao matar brave.exe: | Data: "Command failed: taskkill /f /im brave.exe /t\nERRO: o processo \"brave.exe\" n�o foi encontrado.\r\n"
[2025-09-16T05:28:28.816Z] [DEBUG] [KILL-CHROME] Erro ao matar opera.exe: | Data: "Command failed: taskkill /f /im opera.exe /t\nERRO: o processo \"opera.exe\" n�o foi encontrado.\r\n"
[2025-09-16T05:28:50.151Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:28:50.175Z] [DEBUG] Promise details: | Data: {}
[2025-09-16T05:28:50.374Z] [DEBUG] Tentativa 1/3 falhou para joaosn
[2025-09-16T05:28:50.447Z] [DEBUG] [KILL-CHROME] Erro ao matar chromium.exe: | Data: "Command failed: taskkill /f /im chromium.exe /t\nERRO: o processo \"chromium.exe\" n�o foi encontrado.\r\n"
[2025-09-16T05:28:50.575Z] [DEBUG] [KILL-CHROME] Erro ao matar msedge.exe: | Data: "Command failed: taskkill /f /im msedge.exe /t\nERRO: o processo \"msedge.exe\" n�o foi encontrado.\r\n"
[2025-09-16T05:28:50.679Z] [DEBUG] [KILL-CHROME] Erro ao matar brave.exe: | Data: "Command failed: taskkill /f /im brave.exe /t\nERRO: o processo \"brave.exe\" n�o foi encontrado.\r\n"
